category_code,category_name,attribute_code,attribute_name,is_primary,filter_operator
712,"Měřící přístroje",1129,"Typ měřícího přístroje",true,OR
713,"Kuchyňské náčiní",,,,
714,Trička,,,,
715,"Sportovní dresy",,,,
716,Kraťasy,,,,
717,Kalhoty,,,,
718,Mikiny,,,,
719,Svetry,,,,
720,Nátělníky,,,,
721,Čepice,,,,
722,Bundy,,,,
723,Kabáty,,,,
724,"Spodní prádlo",,,,
725,Ponožky,,,,
726,Rukavice,,,,
727,Obuv,,,,
728,Doplňky,,,,
729,Košile,,,,
730,Halenky,,,,
731,Sukně,,,,
732,"Ostatní oblečení",,,,
734,"Notesy a bloky",,,,
735,"Psací potřeby",,,,
736,"Halové sporty",,,,
737,"Venkovní sporty",,,,
738,Fitness,,,,
739,Plavky,,,,
740,"Dětské soupravy",,,,
741,"Tepláky a soupravy",,,,
742,Puzzle,,,,
743,"Dřevěné modely",,,,
744,"Společenské a deskové hry",,,,
745,"Šlapadla a odstrkovadla",,,,
746,"RC modely",,,,
747,Zvířátka,,,,
748,Figurky,,,,
749,Panenky,,,,
750,"Ostatní hračky",,,,
751,Kuchyňky,,,,
752,"Plyšové hračky",,,,
753,Stavebnice,,,,
754,"Hudební nástroje",,,,
755,Příslušenství,,,,
756,"Ochranné pomůcky",,,,
757,Dezinfekce,,,,
759,"Láhve a kelímky",1169,Produkt,true,OR
760,Vaření,1170,Produkt,true,OR
761,Světla,1171,Produkt,true,OR
762,Bezpečnost,1172,Produkt,true,OR
763,"Nábytek do interiéru",,,,
764,"Nábytek do exteriéru",,,,
765,"Filtrační konvice",,,,
766,"Hardware peněženka",,,,
767,"Selfie tyče",1315,Délka,true,OR
