ProId,Code,Name,waranty,endUserPrice,PartNumber,OnStock,OnStockText,ProducerName,EANCode,descriptionShort,description,img
1544638,1561105,"GENIUS webkamera QCam 6000/ červená/ Full HD 1080P/ USB2.0/ mikrofon","24 Měsíc(ů)",766.00,32200002408,true,10-49,Genius,4710268258421,,,https://c.edsystem.cz/IMGCACHE/_1544/1544638_0a_3.jpg
1544639,1561106,"GENIUS webkamera QCam 6000/ žlutá/ Full HD 1080P/ USB2.0/ mikrofon","24 Měsíc(ů)",900.00,32200002409,false,"0,00",Genius,4710268258438,,,https://c.edsystem.cz/IMGCACHE/_1544/1544639_0a_3.jpg
1544641,1061652,"Samsung MT LED LCD Smart Monitor 32"" 32AM700UUXEN-plochý,VA,3840x2160,8ms,60Hz,HDMI,USBC,Repro","24 Měsíc(ů)",8474.00,LS32AM700UUXEN,false,"0,00",Samsung,8806090755729,,,https://c.edsystem.cz/IMGCACHE/_1544/1544641_0a_3.jpg
1544647,1061653,"Samsung MT LED LCD Gaming Monitor 34"" 34G55TWWUXEN-prohnutý,VA,5120x1440,4ms,120Hz,HDMI,DisplayPort","24 Měsíc(ů)",11366.00,LC34G55TWWUXEN,false,"0,00",Samsung,8806090663628,,,https://c.edsystem.cz/IMGCACHE/_1544/1544647_0a_3.jpg
1544721,288726,"Logitech HD Webcam C922 PRO","2 Rok(ů)",2515.00,960-001089,true,10-49,Logitech,6920377905316,,,https://c.edsystem.cz/IMGCACHE/_1544/1544721_0a_3.jpg
1544739,147746,"AOC MT IPS LCD WLED 31,5"" Q32P2 - IPS panel, 2560x1440, 2xHDMI, DP, USB 3.2, repro, pivot","36 Měsíc(ů)",6906.00,Q32P2,true,10-49,AOC,4038986118170,,,https://c.edsystem.cz/IMGCACHE/_1544/1544739_0a_3.jpg
1544747,1224187,"AKASA řadič Soho ARGB XL, 8 kanálů, PCIe slot","24 Měsíc(ů)",475.00,AK-RLD-04,true,"4,00",AKASA,4710679550480,,,https://c.edsystem.cz/IMGCACHE/_1544/1544747_0a_3.jpg
1544750,1224188,"AKASA řadič Vegas RGB XL, 8 kanálů, PCIe slot","24 Měsíc(ů)",464.00,AK-RLD-03,true,"3,00",AKASA,4710679550473,,,https://c.edsystem.cz/IMGCACHE/_1544/1544750_0a_3.jpg
1544751,1224189,"AKASA čtečka karet AK-CR-10BK (SD, microSD), externí, USB 3.2 Type-C","24 Měsíc(ů)",260.00,AK-CR-10BK,true,"3,00",AKASA,4710679550510,,,https://c.edsystem.cz/IMGCACHE/_1544/1544751_0a_3.jpg
1544780,740969,"Philips MT IPS LED 23,8"" 243B1JH/00 - IPS panel, 1920x1080, HDMI, DP, USB-C dock, RJ45, repro, pivot","36 Měsíc(ů)",9425.00,243B1JH/00,false,"0,00",Philips,8712581771096,,,https://c.edsystem.cz/IMGCACHE/_1544/1544780_0a_3.jpg
1544788,740971,"Philips MT IPS LED 28"" 288E2UAE/00 - IPS panel, 3840x2160, HDMI, DP, USB, repro, nast vyska","36 Měsíc(ů)",7536.00,288E2UAE/00,true,"10,00",Philips,8712581772635,,,https://c.edsystem.cz/IMGCACHE/_1544/1544788_0a_3.jpg
1544791,740972,"Philips MT VA LED 23,6"" 241E1SC/00 - VA panel, 1920x1080, D-Sub, HDMI, zakriven","36 Měsíc(ů)",3758.00,241E1SC/00,false,"0,00",Philips,8712581758417,,,https://c.edsystem.cz/IMGCACHE/_1544/1544791_0a_3.jpg
1544816,1541002,"GIGABYTE LCD - 27"" Gaming monitor AORUS FI27Q-X QHD, 2560x1440, 240Hz, 100M:1, 400cd/m2, 0.5ms, 2xHDMI 2.0, 2xUSB 3.0","36 Měsíc(ů)",15820.00,"AORUS FI27Q-X",true,"4,00",Gigabyte,4719331808730,,,https://c.edsystem.cz/IMGCACHE/_1544/1544816_0a_3.jpg
1546869,443627,"Kingston USB3.2 Gen1 Workflow Dual-Slot SDHC/SDXC UHS-II Card Reader","24 Měsíc(ů)",607.00,WFS-SD,true,"2,00",Kingston,740617307740,,,https://c.edsystem.cz/IMGCACHE/_1546/1546869_0a_3.jpg
1546870,443628,"Kingston USB3.2 Gen1 Workflow Dual-Slot microSDHC/SDXC UHS-II Card Reader","24 Měsíc(ů)",607.00,WFS-SDC,true,"3,00",Kingston,740617307757,,,https://c.edsystem.cz/IMGCACHE/_1546/1546870_0a_3.jpg
1546871,443629,"Kingston USB3.2 Gen2 Workflow Station Dock w/5G USB-A/C Hub","24 Měsíc(ů)",1740.00,WFS-U,true,"1,00",Kingston,740617307733,,,https://c.edsystem.cz/IMGCACHE/_1546/1546871_0a_3.jpg
